image,caption,predicted_emotion,confidence,prob_joy,prob_sadness,prob_anger,prob_fear,prob_love,prob_surprise
1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .,sadness,0.8053132,0.05997984,0.8053132,0.09085528,0.033577383,0.009361667,0.00091255544
1000268201_693b08cb0e.jpg,A girl going into a wooden building .,joy,0.6578579,0.6578579,0.2293812,0.051421806,0.035720512,0.023121135,0.0024974348
1000268201_693b08cb0e.jpg,A little girl climbing into a wooden playhouse .,sadness,0.7968223,0.036833253,0.7968223,0.11114474,0.04423597,0.009538606,0.0014250815
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse .,joy,0.5475377,0.5475377,0.3063156,0.06657486,0.046001688,0.030061373,0.003508777
1000268201_693b08cb0e.jpg,A little girl in a pink dress going into a wooden cabin .,joy,0.9059141,0.9059141,0.07510645,0.007372001,0.004902524,0.0064425007,0.00026237
1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting,joy,0.9924817,0.9924817,0.0064344774,0.00054384,0.00024173407,0.00029678046,1.5834073e-06
1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .,joy,0.5067521,0.5067521,0.33516294,0.07339955,0.048563045,0.032653823,0.0034685363
1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,sadness,0.9922208,0.0050343014,0.9922208,0.0013201637,0.00079056015,0.0006328071,1.297326e-06
1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road .,fear,0.5030139,0.06875587,0.080206186,0.10658771,0.5030139,0.037905533,0.20353073
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .,fear,0.54448295,0.0636923,0.08433169,0.11124556,0.54448295,0.034305934,0.16194153
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,fear,0.61689603,0.053616047,0.089802444,0.112958334,0.61689603,0.025683388,0.10104381
1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .,joy,0.95786643,0.95786643,0.031814255,0.0050552227,0.0028378787,0.002324902,0.00010128785
1002674143_1b742ab4b8.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,joy,0.8896876,0.8896876,0.079349905,0.013887589,0.009178977,0.00740595,0.000490016
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .,sadness,0.79049677,0.07104076,0.79049677,0.09179543,0.03513488,0.010504113,0.0010279815
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .,joy,0.98747927,0.98747927,0.010246677,0.0013104605,0.0005135309,0.0004441875,6.015854e-06
1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .,joy,0.97960633,0.97960633,0.01693038,0.0014427294,0.0008706598,0.0011364288,1.3425899e-05
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .,sadness,0.70326614,0.22025646,0.70326614,0.03316464,0.020462455,0.021894779,0.0009555438
1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .,joy,0.96451426,0.96451426,0.028795803,0.00257591,0.0017232533,0.0023463292,4.4438348e-05
1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog .,sadness,0.7013098,0.23505662,0.7013098,0.028483244,0.015124906,0.019445151,0.0005802787
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground,fear,0.53550804,0.06477403,0.08350676,0.110649765,0.53550804,0.0352029,0.1703586
1007129816_e794419615.jpg,A man in an orange hat starring at something .,joy,0.8244916,0.8244916,0.13924095,0.014746689,0.0096073225,0.011076277,0.0008370765
1007129816_e794419615.jpg,A man wears an orange hat and glasses .,joy,0.8401741,0.8401741,0.1263803,0.0133844325,0.008860248,0.01047293,0.00072791235
1007129816_e794419615.jpg,A man with gauges and glasses is wearing a Blitz hat .,joy,0.9542957,0.9542957,0.036945943,0.0033151146,0.0022666182,0.0031052611,7.151012e-05
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat .,joy,0.576709,0.576709,0.2880101,0.06235452,0.042405814,0.027410528,0.003109984
1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .,joy,0.807723,0.807723,0.15396501,0.016031265,0.010085653,0.011290581,0.0009044459
1007320043_627395c3d8.jpg,A child playing on a rope net .,sadness,0.86422884,0.024089698,0.86422884,0.082327776,0.024461392,0.004534484,0.00035768442
1007320043_627395c3d8.jpg,A little girl climbing on red roping .,joy,0.5728749,0.5728749,0.28821927,0.06330118,0.04383519,0.028404485,0.003364966
1007320043_627395c3d8.jpg,A little girl in pink climbs a rope bridge at the park .,sadness,0.8692479,0.023707721,0.8692479,0.0793805,0.02307363,0.0042723394,0.00031803906
1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground .,joy,0.9929275,0.9929275,0.006070286,0.0005113704,0.00022009968,0.00026951774,1.3540977e-06
